"year.x","fyear.x","county","age16 license","age17 license","age18 license","under18 license","youth_total license","total_md_drivers.x","share16.x","share17.x","share18.x","est_16_or_17_or_18_yo_2023.x","est_reg_rate_18_yo_as_of_202312.x","est_prereg_rate_16_17_yo_as_of_202312.x","est_med_hh_income_2022_dollars.x","share_bipoc.x","share_white.x","share_bachelors_degree_plus.x","share_language_other_than_english.x","year.y","fyear.y","age16","age17","age18","under18","youth_total","total_md_drivers.y","share16.y","share17.y","share18.y","est_16_or_17_or_18_yo_2023.y","est_reg_rate_18_yo_as_of_202312.y","est_prereg_rate_16_17_yo_as_of_202312.y","est_med_hh_income_2022_dollars.y","share_bipoc.y","share_white.y","share_bachelors_degree_plus.y","share_language_other_than_english.y","EST_16_OR_17_OR_18_YO_2023","EST_REG_RATE_18_YO_AS_OF_202312","EST_PREREG_RATE_16_17_YO_AS_OF_202312","EST_MED_HH_INCOME_2022_DOLLARS","Share_BIPOC","Share_White","Share_Bachelors_Degree_Plus","Share_Language_Other_than_English","seventeenlicensepercent2023","eighteenlicensepercent2023"
2023,2024,"frederick",NA,1452,2507,NA,NA,217505,NA,19.31878659,66.7110165,3758,0.744012773,0.424960085,115724,0.304949439,0.695050561,0.43625081,0.154683902,2023,2024,NA,1452,2507,NA,NA,217505,NA,19.318786588611,66.7110164981373,3758,0.744012772751463,0.424960085151676,115724,0.304949439248582,0.695050560751417,0.436250809815228,0.154683901584175,NA,NA,NA,NA,NA,NA,NA,NA,38.6375731772219,66.7110164981373
2023,2024,"garrett",NA,160,199,NA,NA,21890,NA,23.12138728,57.51445087,346,0.647398844,0.39017341,64447,0.043630441,0.956369559,0.246222015,0.030630828,2023,2024,NA,160,199,NA,NA,21890,NA,23.121387283237,57.514450867052,346,0.647398843930635,0.390173410404624,64447,0.043630440809537,0.956369559190463,0.246222014925373,0.0306308275058275,NA,NA,NA,NA,NA,NA,NA,NA,46.242774566474,57.514450867052
2023,2024,"harford",NA,1310,2154,NA,NA,198193,NA,18.4541698,60.68745304,3549.333333,0.708020285,0.414444027,106417,0.263610908,0.736389092,0.387722931,0.075494939,2023,2024,NA,1310,2154,NA,NA,198193,NA,18.454169797145,60.687453042825,3549.33333333333,0.708020285499624,0.414444027047332,106417,0.263610907879061,0.736389092120938,0.387722931073309,0.0754949391810306,NA,NA,NA,NA,NA,NA,NA,NA,36.9083395977562,60.6874530485244
2023,2024,"howard",NA,1590,3056,NA,NA,253253,NA,16.10615883,61.91247974,4936,0.693273906,0.371150729,140971,0.516413613,0.483586387,0.640116135,0.265229475,2023,2024,NA,1590,3056,NA,NA,253253,NA,16.1061588330632,61.9124797406807,4936,0.693273905996758,0.371150729335494,140971,0.516413612801985,0.483586387198014,0.640116134531377,0.265229475188982,NA,NA,NA,NA,NA,NA,NA,NA,32.2123176661264,61.9124797406807
2023,2024,"kent",NA,67,107,NA,NA,14282,NA,16.42156863,52.45098039,204,0.529411765,0.345588235,71635,0.231530924,0.768469076,0.373549219,0.054254804,2023,2024,NA,67,107,NA,NA,14282,NA,16.421568627451,52.4509803921569,204,0.529411764705882,0.345588235294117,71635,0.231530924361034,0.768469075638965,0.373549219085828,0.054254803810754,NA,NA,NA,NA,NA,NA,NA,NA,32.843137254902,52.4509803921569
2023,2024,"montgomery",NA,3956,7562,NA,NA,786147,NA,13.86416205,53.0034345,14267,0.704633069,0.377619682,125583,0.585944877,0.414055123,0.600283341,0.419013061,2023,2024,NA,3956,7562,NA,NA,786147,NA,13.8641620522885,53.003434499194,14267,0.70463306932081,0.377619681783135,125583,0.585944877047241,0.414055122952758,0.60028334123437,0.419013061387818,NA,NA,NA,NA,NA,NA,NA,NA,27.728324104577,53.0034344991939
2023,2024,"prince_georges",NA,1101,3467,NA,NA,624768,NA,4.858210272,30.59657587,11331.33333,0.552273931,0.239865859,97935,0.884254834,0.115745166,0.356340949,0.288907794,2023,2024,NA,1101,3467,NA,NA,624768,NA,4.85821027240103,30.5965758663294,11331.3333333333,0.552273930693651,0.239865858680943,97935,0.884254833684883,0.115745166315116,0.35634094937085,0.288907794269811,NA,NA,NA,NA,NA,NA,NA,NA,9.7164205476603,30.5965758753299
2023,2024,"queen_annes",NA,361,483,NA,NA,41367,NA,26.78041543,71.66172107,674,0.670623145,0.451038576,108332,0.158498291,0.841501709,0.365718405,0.053808189,2023,2024,NA,361,483,NA,NA,41367,NA,26.7804154302671,71.6617210682493,674,0.670623145400593,0.451038575667655,108332,0.15849829080213,0.841501709197869,0.365718405146121,0.0538081893847505,NA,NA,NA,NA,NA,NA,NA,NA,53.5608308605341,71.6617210682493
2023,2024,"somerset",NA,49,107,NA,NA,13832,NA,10.74561404,46.92982456,228,0.543859649,0.348684211,52149,0.481801232,0.518198768,0.168474416,0.054766648,2023,2024,NA,49,107,NA,NA,13832,NA,10.7456140350877,46.9298245614035,228,0.543859649122807,0.348684210526315,52149,0.481801232166018,0.518198767833981,0.168474416411223,0.0547666482980797,NA,NA,NA,NA,NA,NA,NA,NA,21.4912280701754,46.9298245614035
2023,2024,"st_marys",NA,659,965,NA,NA,81110,NA,20.63674322,60.43841336,1596.666667,0.577453027,0.302192067,113668,0.282399353,0.717600647,0.349177163,0.069843617,2023,2024,NA,659,965,NA,NA,81110,NA,20.6367432150314,60.4384133611694,1596.66666666666,0.577453027139874,0.302192066805845,113668,0.282399353330873,0.717600646669126,0.34917716282063,0.0698436169316724,NA,NA,NA,NA,NA,NA,NA,NA,41.273486421446,60.4384133485515
2023,2024,"talbot",NA,202,276,NA,NA,30034,NA,24.95881384,68.20428336,404.6666667,0.738879736,0.417627677,81667,0.236040677,0.763959323,0.414526779,0.086726351,2023,2024,NA,202,276,NA,NA,30034,NA,24.9588138385503,68.2042833607909,404.666666666666,0.738879736408566,0.417627677100494,81667,0.236040676526033,0.763959323473966,0.414526779163609,0.0867263505086061,NA,NA,NA,NA,NA,NA,NA,NA,49.9176276729887,68.2042833551726
2023,2024,"washington",NA,633,1083,NA,NA,109987,NA,15.68384539,53.66699703,2018,0.60852329,0.329038652,73017,0.237356526,0.762643474,0.22976593,0.08199325,2023,2024,NA,633,1083,NA,NA,109987,NA,15.6838453914767,53.6669970267592,2018,0.608523290386521,0.329038652130822,73017,0.237356526237511,0.762643473762488,0.229765929538694,0.0819932499503672,NA,NA,NA,NA,NA,NA,NA,NA,31.3676907829534,53.6669970267592
2023,2024,"wicomico",NA,356,590,NA,NA,68780,NA,13.54986044,44.91245877,1313.666667,0.592996701,0.32923116,69421,0.392611858,0.607388142,0.289481292,0.113844956,2023,2024,NA,356,590,NA,NA,68780,NA,13.5498604415124,44.9124587668107,1313.66666666666,0.592996701344836,0.329231159604161,69421,0.392611857631363,0.607388142368636,0.289481292128847,0.113844956158321,NA,NA,NA,NA,NA,NA,NA,NA,27.0997208761483,44.9124587554142
2023,2024,"worcester",NA,296,397,NA,NA,44119,NA,25.81395349,69.24418605,573.3333333,0.765697674,0.456104651,76689,0.210309122,0.789690878,0.320880322,0.065687531,2023,2024,NA,296,397,NA,NA,44119,NA,25.8139534883721,69.2441860465117,573.333333333333,0.765697674418604,0.45610465116279,76689,0.210309122229163,0.789690877770836,0.320880321923592,0.0656875308033514,NA,NA,NA,NA,NA,NA,NA,NA,51.6279069797458,69.2441860505375
